arm,step,epoch,val_HIT1_VG,val_R1_05,val_R1_07,val_mAP_avg,val_mAP_long,val_mAP_middle,val_mAP_short,train_loss
baseline,4445,78,70.00000762939453,72.25806427001953,57.4838752746582,51.57549285888672,55.70924758911133,54.948734283447266,15.753451347351074,14.800491333007812
baseline,4502,79,70.45161437988281,72.51612854003906,58.000003814697266,52.27801513671875,58.40363693237305,54.51482391357422,14.802764892578125,14.74277400970459
baseline,4559,80,71.16129302978516,71.48387145996094,56.3870964050293,50.635169982910156,58.59581756591797,51.47542953491211,14.274178504943848,14.68963623046875
baseline,4616,81,71.67742156982422,71.41935729980469,58.19355392456055,51.408443450927734,55.95823669433594,54.276275634765625,15.675272941589355,14.681192398071289
baseline,4673,82,70.77420043945312,71.61290740966797,56.129032135009766,51.19175338745117,57.63933181762695,52.57971954345703,16.316896438598633,14.654947280883789
baseline,4730,83,70.6451644897461,72.32258605957031,57.61290740966797,52.57768630981445,58.55463790893555,54.632205963134766,15.90477466583252,14.553506851196289
baseline,4787,84,71.16129302978516,71.80645751953125,55.93548583984375,51.34552764892578,58.08125305175781,53.391597747802734,13.907125473022461,14.530107498168945
baseline,4844,85,72.06452178955078,73.0967788696289,59.161293029785156,52.46890640258789,56.34636306762695,55.14699172973633,17.5596981048584,14.462833404541016
baseline,4901,86,72.6451644897461,71.48387145996094,57.4838752746582,51.71377944946289,55.68341064453125,54.625030517578125,16.858661651611328,14.452136993408203
baseline,4958,87,70.77420043945312,72.45161437988281,58.38710021972656,52.765419006347656,61.10548400878906,53.24336624145508,15.883898735046387,14.375332832336426
baseline,5015,88,71.48387145996094,72.90322875976562,58.38710021972656,52.71646499633789,58.153038024902344,54.47059631347656,17.5698299407959,14.391929626464844
baseline,5072,89,71.0967788696289,72.12903594970703,57.096778869628906,51.846656799316406,55.2557487487793,54.29014587402344,17.49744415283203,14.38421630859375
baseline,5129,90,71.0967788696289,73.41935729980469,57.80645751953125,52.449729919433594,56.574798583984375,55.575225830078125,16.01654624938965,14.323720932006836
baseline,5186,91,70.58065032958984,72.70967864990234,58.903228759765625,51.66946792602539,57.6453857421875,53.20929718017578,17.32125473022461,14.323110580444336
baseline,5243,92,71.41935729980469,71.93548583984375,56.83871078491211,51.67675018310547,57.01224899291992,53.681304931640625,16.9206485748291,14.280723571777344
baseline,5300,93,72.90322875976562,73.29032135009766,58.580650329589844,52.43731689453125,55.334564208984375,55.5008544921875,18.351533889770508,14.22643756866455
baseline,5357,94,71.93548583984375,72.0,56.45161437988281,51.89382553100586,56.15102005004883,54.27443313598633,17.243154525756836,14.177454948425293
baseline,5414,95,71.29032897949219,72.6451644897461,58.000003814697266,52.25338363647461,57.89079666137695,54.367855072021484,16.232128143310547,14.157795906066895
baseline,5471,96,70.5161361694336,71.03226470947266,56.51612854003906,51.967594146728516,57.58546447753906,53.130306243896484,17.395322799682617,14.115159034729004
baseline,5528,97,68.51612854003906,73.16129302978516,58.12903594970703,53.110633850097656,57.11559295654297,55.754661560058594,17.275375366210938,14.061601638793945
baseline,5585,98,71.03226470947266,73.80644989013672,58.645164489746094,52.22568130493164,58.68199920654297,53.750038146972656,16.196365356445312,14.08700180053711
baseline,5642,99,70.77420043945312,72.06452178955078,57.61290740966797,50.996307373046875,57.105289459228516,53.23908233642578,15.024985313415527,14.006065368652344
baseline,5699,100,71.41935729980469,71.74193572998047,57.41936111450195,52.075897216796875,56.85452651977539,53.769187927246094,18.328439712524414,13.980911254882812
baseline,5756,101,71.03226470947266,73.03225708007812,58.19355392456055,52.521854400634766,56.08026885986328,55.1535758972168,18.522350311279297,13.765069007873535
baseline,5813,102,70.5161361694336,73.61290740966797,57.41936111450195,52.516937255859375,56.56034851074219,54.68056106567383,18.608539581298828,13.590210914611816
baseline,5870,103,71.2258071899414,72.45161437988281,57.80645751953125,53.03460693359375,57.639183044433594,54.75137710571289,18.98663330078125,13.610827445983887
baseline,5927,104,71.48387145996094,72.6451644897461,58.645164489746094,53.04176330566406,56.91575241088867,54.743255615234375,19.331069946289062,13.42782974243164
baseline,5984,105,70.06452178955078,72.96774291992188,58.19355392456055,52.8166389465332,57.314544677734375,54.60395431518555,18.267356872558594,13.48070240020752
baseline,6041,106,71.61290740966797,73.2258071899414,58.77419662475586,53.14968490600586,56.41767883300781,55.42861557006836,19.96280288696289,13.446497917175293
baseline,6098,107,72.12903594970703,73.41935729980469,59.03226089477539,53.10905075073242,57.42650604248047,54.2941780090332,20.23430061340332,13.382831573486328
baseline,6155,108,71.80645751953125,74.06451416015625,59.67742156982422,53.35582733154297,58.914859771728516,53.856163024902344,19.47600555419922,13.355172157287598
baseline,6212,109,71.2258071899414,71.74193572998047,58.19355392456055,53.23564910888672,59.31532287597656,53.90018844604492,18.944473266601562,13.354606628417969
baseline,6269,110,70.70967864990234,72.83871459960938,58.06452178955078,52.7701530456543,57.70960998535156,53.866825103759766,18.8663330078125,13.314216613769531
baseline,6326,111,71.41935729980469,72.7741928100586,58.45161819458008,53.12514114379883,57.222434997558594,55.010372161865234,19.512897491455078,13.293972969055176
baseline,6383,112,69.8709716796875,72.45161437988281,58.645164489746094,52.962398529052734,57.46298599243164,54.92167282104492,18.80598258972168,13.256107330322266
baseline,6440,113,71.67742156982422,72.6451644897461,57.096778869628906,52.77141571044922,56.99711608886719,54.30559158325195,19.968233108520508,13.287764549255371
baseline,6497,114,72.32258605957031,73.74193572998047,58.838714599609375,53.06081008911133,57.15287399291992,54.367496490478516,19.483261108398438,13.232098579406738
baseline,6554,115,71.8709716796875,72.70967864990234,57.22581100463867,52.504398345947266,57.33338165283203,53.76304626464844,18.93136978149414,13.178396224975586
baseline,6611,116,70.70967864990234,72.32258605957031,58.32258605957031,53.404781341552734,58.09158706665039,54.84721755981445,19.055583953857422,13.144977569580078
baseline,6668,117,71.03226470947266,72.90322875976562,58.19355392456055,52.8933219909668,57.58428192138672,54.082786560058594,18.93575668334961,13.074361801147461
baseline,6725,118,71.29032897949219,71.8709716796875,57.22581100463867,52.60679244995117,58.245784759521484,53.844356536865234,17.823688507080078,13.120403289794922
baseline,6782,119,71.35484313964844,72.90322875976562,58.000003814697266,52.55138397216797,58.71440887451172,53.42979431152344,18.232694625854492,13.096288681030273
baseline,6839,120,73.29032135009766,73.16129302978516,58.45161819458008,53.03050231933594,57.655521392822266,54.52199935913086,19.242511749267578,13.136285781860352
baseline,6896,121,70.32258605957031,72.6451644897461,58.70968246459961,53.29470443725586,57.70194625854492,54.94731521606445,19.1380558013916,13.041967391967773
baseline,6953,122,71.61290740966797,71.93548583984375,57.935489654541016,52.957271575927734,57.09354019165039,54.36000061035156,19.29021453857422,13.028209686279297
baseline,7010,123,69.741943359375,72.70967864990234,57.41936111450195,52.57416915893555,57.82866668701172,53.6928596496582,19.362571716308594,13.001073837280273
baseline,7067,124,70.77420043945312,72.96774291992188,58.32258605957031,52.8962287902832,58.13853073120117,53.57210922241211,19.542564392089844,13.113693237304688
baseline,7124,125,71.67742156982422,73.54838562011719,58.32258605957031,52.607025146484375,58.34638214111328,53.54407501220703,18.606674194335938,12.986727714538574
baseline,7181,126,70.77420043945312,72.51612854003906,57.61290740966797,52.9496955871582,57.52667236328125,54.0998420715332,20.11139488220215,12.848134994506836
baseline,7238,127,70.70967864990234,72.19355010986328,58.45161819458008,53.25566101074219,58.168033599853516,53.98732376098633,20.51413917541504,12.734381675720215
baseline,7295,128,71.61290740966797,72.96774291992188,58.32258605957031,52.91568374633789,57.88723373413086,53.629581451416016,19.778139114379883,12.703418731689453
baseline,7352,129,70.77420043945312,73.0967788696289,58.645164489746094,53.033512115478516,58.53359603881836,53.378936767578125,20.113325119018555,12.710930824279785
baseline,7409,130,69.8709716796875,72.19355010986328,58.32258605957031,52.83968734741211,57.40614700317383,54.00635528564453,19.981821060180664,12.671210289001465
baseline,7466,131,70.19355010986328,72.32258605957031,57.935489654541016,52.39360427856445,56.41195297241211,53.37955093383789,20.72268295288086,12.63891887664795
baseline,7523,132,70.77420043945312,72.25806427001953,58.2580680847168,52.556297302246094,57.710899353027344,52.63386917114258,20.958301544189453,12.809240341186523
baseline,7580,133,70.77420043945312,71.80645751953125,57.41936111450195,53.07349395751953,57.61497497558594,53.92438507080078,20.214845657348633,12.627896308898926
baseline,7637,134,70.32258605957031,72.32258605957031,57.35484313964844,52.7581901550293,57.24567794799805,53.91154479980469,19.85308265686035,12.573076248168945
